96 training users -> 4 folds
  fold 0:  24 users,  213 sessions | e.g. ['11372316', '14312238', '2396581']
  fold 1:  24 users,  206 sessions | e.g. ['11944098', '1438774', '25847138']
  fold 2:  24 users,  213 sessions | e.g. ['12565339', '18200807', '25915650']
  fold 3:  24 users,  205 sessions | e.g. ['13321435', '20676876', '26940776']
[split] fold 1: train on 72 users (631 sessions); HELD OUT 24 users (206 sessions)
[split] official test users: 16 sessions (never trained on in either mode)
[data] 174323 training windows of 4.0s
[data] monitor sets: 512 test windows, 512 fold-heldout windows
/data2/chenyuxiang/conda_envs/qwerty/lib/python3.10/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
[init] continued from /data2/chenyuxiang/runs/tf_fold1/last.pt (step 40000, fold 1); optimizer starts fresh
[model] featurizer [11, 3, 3]/[5, 2, 2] -> 100 Hz frames (400 per window)
[model] tiny: 2.12M total  (featurizer 0.08M  encoder 1.98M  decoder 0.01M)
/data2/chenyuxiang/conda_envs/qwerty/lib/python3.10/site-packages/torch/nn/modules/conv.py:306: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv1d(input, weight, bias, self.stride,
step 200/103000 | loss 1.5741 | lr 6.80e-05 | 576 win/s
step 400/103000 | loss 1.6060 | lr 1.36e-04 | 618 win/s
step 600/103000 | loss 1.6411 | lr 2.04e-04 | 640 win/s
step 800/103000 | loss 1.7096 | lr 2.72e-04 | 647 win/s
step 1000/103000 | loss 1.7334 | lr 3.40e-04 | 633 win/s
step 1200/103000 | loss 1.7817 | lr 4.08e-04 | 607 win/s
step 1400/103000 | loss 1.8191 | lr 4.76e-04 | 591 win/s
step 1600/103000 | loss 1.9002 | lr 5.44e-04 | 573 win/s
step 1800/103000 | loss 1.9016 | lr 6.12e-04 | 557 win/s
step 2000/103000 | loss 1.9603 | lr 6.80e-04 | 539 win/s
step 2200/103000 | loss 1.9532 | lr 7.00e-04 | 526 win/s
step 2400/103000 | loss 1.9701 | lr 7.00e-04 | 512 win/s
step 2600/103000 | loss 1.9800 | lr 7.00e-04 | 502 win/s
step 2800/103000 | loss 1.9853 | lr 7.00e-04 | 493 win/s
step 3000/103000 | loss 1.9775 | lr 7.00e-04 | 485 win/s
step 3200/103000 | loss 1.9954 | lr 7.00e-04 | 477 win/s
step 3400/103000 | loss 1.9994 | lr 7.00e-04 | 472 win/s
step 3600/103000 | loss 1.9824 | lr 7.00e-04 | 464 win/s
step 3800/103000 | loss 1.9604 | lr 6.99e-04 | 460 win/s
step 4000/103000 | loss 1.9437 | lr 6.99e-04 | 456 win/s
[val] step 4000: 8-test-user CER 51.33 | fold-heldout-user CER 57.28  (their Tiny reference: 35.9)
[val] new best 51.33 -> best.pt
step 4200/103000 | loss 1.9495 | lr 6.99e-04 | 451 win/s
step 4400/103000 | loss 1.9796 | lr 6.99e-04 | 447 win/s
step 4600/103000 | loss 1.9970 | lr 6.99e-04 | 443 win/s
step 4800/103000 | loss 1.9778 | lr 6.99e-04 | 440 win/s
step 5000/103000 | loss 1.9633 | lr 6.99e-04 | 437 win/s
step 5200/103000 | loss 1.9370 | lr 6.98e-04 | 434 win/s
step 5400/103000 | loss 1.9320 | lr 6.98e-04 | 431 win/s
step 5600/103000 | loss 1.9310 | lr 6.98e-04 | 428 win/s
step 5800/103000 | loss 1.9423 | lr 6.98e-04 | 426 win/s
step 6000/103000 | loss 1.9522 | lr 6.97e-04 | 424 win/s
step 6200/103000 | loss 1.9514 | lr 6.97e-04 | 422 win/s
step 6400/103000 | loss 1.9656 | lr 6.97e-04 | 419 win/s
step 6600/103000 | loss 1.9792 | lr 6.97e-04 | 418 win/s
step 6800/103000 | loss 1.9682 | lr 6.96e-04 | 417 win/s
step 7000/103000 | loss 1.9356 | lr 6.96e-04 | 415 win/s
step 7200/103000 | loss 1.9270 | lr 6.96e-04 | 414 win/s
step 7400/103000 | loss 1.9083 | lr 6.95e-04 | 413 win/s
step 7600/103000 | loss 1.9079 | lr 6.95e-04 | 412 win/s
step 7800/103000 | loss 1.9219 | lr 6.94e-04 | 409 win/s
step 8000/103000 | loss 1.9372 | lr 6.94e-04 | 407 win/s
[val] step 8000: 8-test-user CER 48.65 | fold-heldout-user CER 55.97  (their Tiny reference: 35.9)
[val] new best 48.65 -> best.pt
step 8200/103000 | loss 1.9111 | lr 6.94e-04 | 404 win/s
step 8400/103000 | loss 1.9150 | lr 6.93e-04 | 402 win/s
step 8600/103000 | loss 1.9478 | lr 6.93e-04 | 400 win/s
step 8800/103000 | loss 1.9255 | lr 6.92e-04 | 397 win/s
step 9000/103000 | loss 1.9126 | lr 6.92e-04 | 396 win/s
step 9200/103000 | loss 1.9034 | lr 6.91e-04 | 394 win/s
step 9400/103000 | loss 1.9099 | lr 6.91e-04 | 392 win/s
step 9600/103000 | loss 1.9197 | lr 6.90e-04 | 392 win/s
step 9800/103000 | loss 1.8806 | lr 6.90e-04 | 394 win/s
step 10000/103000 | loss 1.9058 | lr 6.89e-04 | 397 win/s
step 10200/103000 | loss 1.9212 | lr 6.89e-04 | 400 win/s
step 10400/103000 | loss 1.9278 | lr 6.88e-04 | 402 win/s
step 10600/103000 | loss 1.8960 | lr 6.88e-04 | 405 win/s
step 10800/103000 | loss 1.8842 | lr 6.87e-04 | 407 win/s
step 11000/103000 | loss 1.8789 | lr 6.87e-04 | 410 win/s
step 11200/103000 | loss 1.8786 | lr 6.86e-04 | 412 win/s
step 11400/103000 | loss 1.8683 | lr 6.85e-04 | 414 win/s
step 11600/103000 | loss 1.8663 | lr 6.85e-04 | 417 win/s
step 11800/103000 | loss 1.8617 | lr 6.84e-04 | 419 win/s
step 12000/103000 | loss 1.8613 | lr 6.83e-04 | 421 win/s
[val] step 12000: 8-test-user CER 50.15 | fold-heldout-user CER 57.09  (their Tiny reference: 35.9)
step 12200/103000 | loss 1.8629 | lr 6.83e-04 | 423 win/s
step 12400/103000 | loss 1.8616 | lr 6.82e-04 | 426 win/s
step 12600/103000 | loss 1.8660 | lr 6.81e-04 | 428 win/s
step 12800/103000 | loss 1.8399 | lr 6.81e-04 | 430 win/s
step 13000/103000 | loss 1.8494 | lr 6.80e-04 | 432 win/s
step 13200/103000 | loss 1.8571 | lr 6.79e-04 | 434 win/s
step 13400/103000 | loss 1.8457 | lr 6.78e-04 | 436 win/s
step 13600/103000 | loss 1.8625 | lr 6.78e-04 | 438 win/s
step 13800/103000 | loss 1.8689 | lr 6.77e-04 | 440 win/s
step 14000/103000 | loss 1.8930 | lr 6.76e-04 | 441 win/s
step 14200/103000 | loss 1.8838 | lr 6.75e-04 | 443 win/s
step 14400/103000 | loss 1.8617 | lr 6.75e-04 | 444 win/s
step 14600/103000 | loss 1.8624 | lr 6.74e-04 | 445 win/s
step 14800/103000 | loss 1.8508 | lr 6.73e-04 | 446 win/s
step 15000/103000 | loss 1.8414 | lr 6.72e-04 | 444 win/s
step 15200/103000 | loss 1.8345 | lr 6.71e-04 | 442 win/s
step 15400/103000 | loss 1.8234 | lr 6.70e-04 | 443 win/s
step 15600/103000 | loss 1.8302 | lr 6.69e-04 | 444 win/s
step 15800/103000 | loss 1.8178 | lr 6.68e-04 | 445 win/s
step 16000/103000 | loss 1.8370 | lr 6.68e-04 | 447 win/s
[val] step 16000: 8-test-user CER 49.87 | fold-heldout-user CER 56.79  (their Tiny reference: 35.9)
step 16200/103000 | loss 1.8298 | lr 6.67e-04 | 448 win/s
step 16400/103000 | loss 1.8081 | lr 6.66e-04 | 448 win/s
step 16600/103000 | loss 1.8152 | lr 6.65e-04 | 450 win/s
step 16800/103000 | loss 1.8180 | lr 6.64e-04 | 451 win/s
step 17000/103000 | loss 1.8239 | lr 6.63e-04 | 452 win/s
step 17200/103000 | loss 1.8359 | lr 6.62e-04 | 453 win/s
step 17400/103000 | loss 1.8093 | lr 6.61e-04 | 453 win/s
step 17600/103000 | loss 1.8233 | lr 6.60e-04 | 455 win/s
step 17800/103000 | loss 1.8248 | lr 6.59e-04 | 455 win/s
step 18000/103000 | loss 1.8347 | lr 6.58e-04 | 455 win/s
step 18200/103000 | loss 1.8240 | lr 6.57e-04 | 455 win/s
step 18400/103000 | loss 1.8112 | lr 6.56e-04 | 455 win/s
step 18600/103000 | loss 1.8107 | lr 6.55e-04 | 456 win/s
step 18800/103000 | loss 1.8403 | lr 6.54e-04 | 456 win/s
step 19000/103000 | loss 1.8426 | lr 6.52e-04 | 456 win/s
step 19200/103000 | loss 1.8183 | lr 6.51e-04 | 455 win/s
step 19400/103000 | loss 1.8180 | lr 6.50e-04 | 455 win/s
step 19600/103000 | loss 1.8074 | lr 6.49e-04 | 455 win/s
step 19800/103000 | loss 1.8092 | lr 6.48e-04 | 454 win/s
step 20000/103000 | loss 1.8156 | lr 6.47e-04 | 454 win/s
[val] step 20000: 8-test-user CER 49.09 | fold-heldout-user CER 55.50  (their Tiny reference: 35.9)
step 20200/103000 | loss 1.8078 | lr 6.46e-04 | 454 win/s
step 20400/103000 | loss 1.7949 | lr 6.45e-04 | 453 win/s
step 20600/103000 | loss 1.7956 | lr 6.43e-04 | 453 win/s
step 20800/103000 | loss 1.7961 | lr 6.42e-04 | 453 win/s
step 21000/103000 | loss 1.8198 | lr 6.41e-04 | 453 win/s
step 21200/103000 | loss 1.8018 | lr 6.40e-04 | 452 win/s
step 21400/103000 | loss 1.7879 | lr 6.38e-04 | 452 win/s
step 21600/103000 | loss 1.7708 | lr 6.37e-04 | 452 win/s
step 21800/103000 | loss 1.7720 | lr 6.36e-04 | 452 win/s
step 22000/103000 | loss 1.7811 | lr 6.35e-04 | 451 win/s
step 22200/103000 | loss 1.7628 | lr 6.33e-04 | 451 win/s
step 22400/103000 | loss 1.7714 | lr 6.32e-04 | 451 win/s
step 22600/103000 | loss 1.7665 | lr 6.31e-04 | 451 win/s
step 22800/103000 | loss 1.7796 | lr 6.30e-04 | 451 win/s
step 23000/103000 | loss 1.7601 | lr 6.28e-04 | 451 win/s
step 23200/103000 | loss 1.7614 | lr 6.27e-04 | 451 win/s
step 23400/103000 | loss 1.7472 | lr 6.26e-04 | 451 win/s
step 23600/103000 | loss 1.7615 | lr 6.24e-04 | 451 win/s
step 23800/103000 | loss 1.7706 | lr 6.23e-04 | 451 win/s
step 24000/103000 | loss 1.7883 | lr 6.22e-04 | 451 win/s
[val] step 24000: 8-test-user CER 50.27 | fold-heldout-user CER 56.12  (their Tiny reference: 35.9)
step 24200/103000 | loss 1.7777 | lr 6.20e-04 | 450 win/s
step 24400/103000 | loss 1.7770 | lr 6.19e-04 | 449 win/s
step 24600/103000 | loss 1.7711 | lr 6.17e-04 | 449 win/s
step 24800/103000 | loss 1.7841 | lr 6.16e-04 | 448 win/s
step 25000/103000 | loss 1.7647 | lr 6.15e-04 | 447 win/s
step 25200/103000 | loss 1.7576 | lr 6.13e-04 | 447 win/s
step 25400/103000 | loss 1.7637 | lr 6.12e-04 | 447 win/s
step 25600/103000 | loss 1.7690 | lr 6.10e-04 | 446 win/s
step 25800/103000 | loss 1.7888 | lr 6.09e-04 | 446 win/s
step 26000/103000 | loss 1.7623 | lr 6.07e-04 | 445 win/s
step 26200/103000 | loss 1.7649 | lr 6.06e-04 | 445 win/s
step 26400/103000 | loss 1.7572 | lr 6.04e-04 | 444 win/s
step 26600/103000 | loss 1.7626 | lr 6.03e-04 | 444 win/s
step 26800/103000 | loss 1.7627 | lr 6.01e-04 | 443 win/s
step 27000/103000 | loss 1.7962 | lr 6.00e-04 | 443 win/s
step 27200/103000 | loss 1.7675 | lr 5.98e-04 | 443 win/s
step 27400/103000 | loss 1.7545 | lr 5.97e-04 | 443 win/s
step 27600/103000 | loss 1.7423 | lr 5.95e-04 | 444 win/s
step 27800/103000 | loss 1.7529 | lr 5.94e-04 | 444 win/s
step 28000/103000 | loss 1.7623 | lr 5.92e-04 | 444 win/s
